DriverNumber,Abbreviation,FullName,Position,Time,Status,RaceName,Round
44,HAM,Lewis Hamilton,2.0,0 days 00:00:20.932000,Finished,Dutch Grand Prix,13
77,BOT,Valtteri Bottas,3.0,0 days 00:00:56.460000,Finished,Dutch Grand Prix,13
10,GAS,Pierre Gasly,4.0,,+1 Lap,Dutch Grand Prix,13
16,LEC,Charles Leclerc,5.0,,+1 Lap,Dutch Grand Prix,13
14,ALO,Fernando Alonso,6.0,,+1 Lap,Dutch Grand Prix,13
55,SAI,Carlos Sainz,7.0,,+1 Lap,Dutch Grand Prix,13
11,PER,Sergio Perez,8.0,,+1 Lap,Dutch Grand Prix,13
31,OCO,Esteban Ocon,9.0,,+1 Lap,Dutch Grand Prix,13
4,NOR,Lando Norris,10.0,,+1 Lap,Dutch Grand Prix,13
3,RIC,Daniel Ricciardo,11.0,,+1 Lap,Dutch Grand Prix,13
18,STR,Lance Stroll,12.0,,+2 Laps,Dutch Grand Prix,13
5,VET,Sebastian Vettel,13.0,,+2 Laps,Dutch Grand Prix,13
99,GIO,Antonio Giovinazzi,14.0,,+2 Laps,Dutch Grand Prix,13
88,KUB,Robert Kubica,15.0,,+2 Laps,Dutch Grand Prix,13
6,LAT,Nicholas Latifi,16.0,,+2 Laps,Dutch Grand Prix,13
63,RUS,George Russell,17.0,,Gearbox,Dutch Grand Prix,13
47,MSC,Mick Schumacher,18.0,,+3 Laps,Dutch Grand Prix,13
22,TSU,Yuki Tsunoda,19.0,,Power Unit,Dutch Grand Prix,13
9,MAZ,Nikita Mazepin,20.0,,Hydraulics,Dutch Grand Prix,13
3,RIC,Daniel Ricciardo,1.0,0 days 01:21:54.365000,Finished,Italian Grand Prix,14
4,NOR,Lando Norris,2.0,0 days 00:00:01.747000,Finished,Italian Grand Prix,14
77,BOT,Valtteri Bottas,3.0,0 days 00:00:04.921000,Finished,Italian Grand Prix,14
16,LEC,Charles Leclerc,4.0,0 days 00:00:07.309000,Finished,Italian Grand Prix,14
11,PER,Sergio Perez,5.0,0 days 00:00:08.723000,Finished,Italian Grand Prix,14
55,SAI,Carlos Sainz,6.0,0 days 00:00:10.535000,Finished,Italian Grand Prix,14
18,STR,Lance Stroll,7.0,0 days 00:00:15.804000,Finished,Italian Grand Prix,14
14,ALO,Fernando Alonso,8.0,0 days 00:00:17.201000,Finished,Italian Grand Prix,14
63,RUS,George Russell,9.0,0 days 00:00:19.742000,Finished,Italian Grand Prix,14
31,OCO,Esteban Ocon,10.0,0 days 00:00:20.868000,Finished,Italian Grand Prix,14
6,LAT,Nicholas Latifi,11.0,0 days 00:00:23.743000,Finished,Italian Grand Prix,14
5,VET,Sebastian Vettel,12.0,0 days 00:00:24.621000,Finished,Italian Grand Prix,14
99,GIO,Antonio Giovinazzi,13.0,0 days 00:00:27.216000,Finished,Italian Grand Prix,14
88,KUB,Robert Kubica,14.0,0 days 00:00:29.769000,Finished,Italian Grand Prix,14
47,MSC,Mick Schumacher,15.0,0 days 00:00:51.088000,Finished,Italian Grand Prix,14
9,MAZ,Nikita Mazepin,16.0,,Power Unit,Italian Grand Prix,14
44,HAM,Lewis Hamilton,17.0,,Collision,Italian Grand Prix,14
33,VER,Max Verstappen,18.0,,Collision,Italian Grand Prix,14
10,GAS,Pierre Gasly,19.0,,Suspension,Italian Grand Prix,14
22,TSU,Yuki Tsunoda,20.0,,Brakes,Italian Grand Prix,14
44,HAM,Lewis Hamilton,1.0,0 days 01:30:41.001000,Finished,Russian Grand Prix,15
33,VER,Max Verstappen,2.0,0 days 00:00:53.271000,Finished,Russian Grand Prix,15
55,SAI,Carlos Sainz,3.0,0 days 00:01:02.475000,Finished,Russian Grand Prix,15
3,RIC,Daniel Ricciardo,4.0,0 days 00:01:05.607000,Finished,Russian Grand Prix,15
77,BOT,Valtteri Bottas,5.0,0 days 00:01:07.533000,Finished,Russian Grand Prix,15
14,ALO,Fernando Alonso,6.0,0 days 00:01:21.321000,Finished,Russian Grand Prix,15
4,NOR,Lando Norris,7.0,0 days 00:01:27.224000,Finished,Russian Grand Prix,15
7,RAI,Kimi Räikkönen,8.0,0 days 00:01:28.955000,Finished,Russian Grand Prix,15
11,PER,Sergio Perez,9.0,0 days 00:01:30.076000,Finished,Russian Grand Prix,15
63,RUS,George Russell,10.0,0 days 00:01:40.551000,Finished,Russian Grand Prix,15
18,STR,Lance Stroll,11.0,0 days 00:01:46.198000,Finished,Russian Grand Prix,15
5,VET,Sebastian Vettel,12.0,,+1 Lap,Russian Grand Prix,15
10,GAS,Pierre Gasly,13.0,,+1 Lap,Russian Grand Prix,15
31,OCO,Esteban Ocon,14.0,,+1 Lap,Russian Grand Prix,15
16,LEC,Charles Leclerc,15.0,,+1 Lap,Russian Grand Prix,15
99,GIO,Antonio Giovinazzi,16.0,,+1 Lap,Russian Grand Prix,15
22,TSU,Yuki Tsunoda,17.0,,+1 Lap,Russian Grand Prix,15
9,MAZ,Nikita Mazepin,18.0,,+2 Laps,Russian Grand Prix,15
6,LAT,Nicholas Latifi,19.0,,Accident,Russian Grand Prix,15
47,MSC,Mick Schumacher,20.0,,Oil leak,Russian Grand Prix,15
77,BOT,Valtteri Bottas,1.0,0 days 01:31:04.103000,Finished,Turkish Grand Prix,16
33,VER,Max Verstappen,2.0,0 days 00:00:14.584000,Finished,Turkish Grand Prix,16
11,PER,Sergio Perez,3.0,0 days 00:00:33.471000,Finished,Turkish Grand Prix,16
16,LEC,Charles Leclerc,4.0,0 days 00:00:37.814000,Finished,Turkish Grand Prix,16
44,HAM,Lewis Hamilton,5.0,0 days 00:00:41.812000,Finished,Turkish Grand Prix,16
10,GAS,Pierre Gasly,6.0,0 days 00:00:44.292000,Finished,Turkish Grand Prix,16
4,NOR,Lando Norris,7.0,0 days 00:00:47.213000,Finished,Turkish Grand Prix,16
55,SAI,Carlos Sainz,8.0,0 days 00:00:51.526000,Finished,Turkish Grand Prix,16
18,STR,Lance Stroll,9.0,0 days 00:01:22.018000,Finished,Turkish Grand Prix,16
